"number","map_index","status","reason","category","kor_name","english_name","region","latitude","longitude"
"87","309","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","용의 경계 그림 보상","Domain of Dragons Painting Solution","dlc","-163.78125","154.44509881931862"
"88","328","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","소각로 관리자의 수기","Furnace Keeper's Note","dlc","-122.5546875","125.88778830995247"
"89","336","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","기름 장사의 방울","Greasemonger's Bell Bearing","dlc","-127.3515625","141.98900952179673"
"90","345","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","큰 항아리 도공의 제작서 [4]","Greater Potentate's Cookbook [4]","dlc","-130.59375","140.63770834285322"
"91","360","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","약초 장사의 방울","Herbalist's Bell Bearing","dlc","-152.703125","119.35536736314202"
"92","363","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","에이곤의 방울","Igon's Bell Bearing","dlc","-163.421875","145.87118770135532"
"93","368","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","침입 그림 보상","Incursion Painting Solution","dlc","-141.42812502384186","105.03124684285181"
"94","380","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","당신과 함께 - 에니르 일림","Let Us Go Together - Enir-Ilim","dlc","-137.2734375","95.16750179925974"
"95","381","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","프레이야에게 보내는 편지","Letter for Freyja","dlc","-115.71875","129.73077295278364"
"96","386","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","겨루기 소망","May the Best Win","dlc","-134.34375","121.92599038941374"
"97","387","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","레다의 메시지","Message from Leda","dlc","-135.1484375","122.51957589774001"
"98","388","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","레다의 메시지","Message from Leda","dlc","-122.12526047229767","108.50419512782273"
"99","391","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","곰팡이 장사의 방울","Moldmonger's Bell Bearing","dlc","-137.2265625","136.3324539332389"
"100","392","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","승려의 편지","Monk's Missive","dlc","-134.53385412693024","121.81640625"
"101","393","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","무어의 방울 - 에니르 일림","Moore's Bell Bearing - Enir-Ilim","dlc","-141.04570317268372","96.24629796769065"
"102","394","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","버섯 장사의 방울 [1]","Mushroom-Seller's Bell Bearing (1)","dlc","-135.578125","108.13592193497533"
"103","395","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","버섯 장사의 방울 [2]","Mushroom-Seller's Bell Bearing [2]","dlc","-156.44791662693024","119.44921875"
"104","396","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","어머니여","O Mother (Gesture)","dlc","-134.21875","133.5366799088375"
"105","400","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","비밀 의식의 두루마리","Secret Rite Scroll","dlc","-117.4140625","129.01207717396272"
"106","401","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","마술기계 장인의 방울","Spellmachinist's Bell Bearing","dlc","-122.453125","142.51985254638092"
"107","405","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","창고의 십자 메시지","Storehouse Cross Message","dlc","-116.6484375","128.25376345160848"
"108","407","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","끈 장사의 방울","String-Seller's Bell Bearing","dlc","-158.1640625","102.88793824826357"
"109","409","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","성스러운 탑 그림 보상","The Sacred Tower Painting Solution","dlc","-134.2109375","111.56288478339484"
"110","410","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","두 손가락","The Two Fingers (Gesture)","dlc","-111.828125","150.09005075315824"
"111","412","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","찢어진 일지","Torn Diary Page","dlc","-158.828125","128.23081140538267"
"112","413","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","그림자 탑 메시지 - 벨라트 탑의 도시","Tower of Shadow Message - Belurat Tower Settlement","dlc","-136.484375","100.3556543906032"
"113","415","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","유미르의 방울","Ymir's Bell Bearing","dlc","-132.15104162693024","137.33984375"
"114","416","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","십자 지도","Cross Map","dlc","-148.859375","110.67525289595137"
"115","417","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","지도 조각: 나락","Map: Abyss","dlc","-155.9296875","149.39525522698997"
"116","418","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","지도 조각: 묘지 평원","Map: Gravesite Plain","dlc","-157.8671875","115.09793470686347"
"117","419","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","지도 조각: 라우프의 옛 유적","Map: Rauh Ruins","dlc","-129.28782384525863","110.33169454707779"
"118","420","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","지도 조각: 그림자 알터","Map: Scadu Altus","dlc","-129.43235291663035","122.67322506200382"
"119","421","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","지도 조각: 남쪽 해안","Map: Southern Shore","dlc","-178.546875","121.1291912264841"
"120","422","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","새로운 십자 지도","New Cross Map","dlc","-134.72135412693024","122.83203125"
"121","423","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","폐허 지도","Ruins Map","dlc","-132.3828125","138.1997628118717"
"122","424","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","폐허 지도","Ruins Map (2nd)","dlc","-132.57291662693024","138.44921875"
"123","425","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","폐허 지도","Ruins Map (3rd)","dlc","-132.8984375","138.35556894038308"
"146","458","추가 검토 필요","소재 명칭 차이 또는 데이터 누락","material","싹 난 뿔 x4 - 에니르 일림","Budding Horn x4 - Enir-Ilim","dlc","-137.8203125","97.30123534888503"
"167","491","추가 검토 필요","소재 명칭 차이 또는 데이터 누락","material","날개 깃 x2","Flight Pinion x2","dlc","-122.90625","107.09781091489842"
"168","492","추가 검토 필요","소재 명칭 차이 또는 데이터 누락","material","날개 깃 x4 - 벨라트 탑의 도시","Flight Pinion x4 - Belurat Tower Settlement","dlc","-140.90885412693024","99.92578125"
"179","532","추가 검토 필요","소재 명칭 차이 또는 데이터 누락","material","거인 불의 반딧불 x3","Giantslab Firefly x3","dlc","-139.29947912693024","121.95703125"
"197","573","추가 검토 필요","소재 명칭 차이 또는 데이터 누락","material","라우프 벌레","Rauh Burrow","dlc","-123.21875","99.26176446586777"
"198","574","추가 검토 필요","소재 명칭 차이 또는 데이터 누락","material","라우프 벌레","Rauh Burrow","dlc","-130.53125","99.83161856264852"
"199","575","추가 검토 필요","소재 명칭 차이 또는 데이터 누락","material","라우프 벌레 x4","Rauh Burrow x4","dlc","-131.9296875","108.63684243919363"
"200","576","추가 검토 필요","소재 명칭 차이 또는 데이터 누락","material","라우프 벌레 x5","Rauh Burrow x5","dlc","-117.609375","106.97889796769329"
"273","993","추가 검토 필요","무기 번역/강화 표기 차이 또는 데이터 누락","weapon","연성 석궁","Repeating Crossbow","dlc","-140.95572912693024","128.38671875"
"274","1013","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","온 지혜 세트","All-Knowing Set","extra","-106.625","116.425507"
"275","1014","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","금가면 세트","Goldmask's Set","extra","-108.46","114.17"
"277","1018","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","순교자의 우상: 엘데의 짐승","Effigy of the Martyr: Elden Beast","extra","-109.923","123.456"
"278","1019","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","순교자의 우상: 엘데의 왕좌","Effigy of the Martyr: Elden Throne","extra","-106.344","119.884"
"279","1020","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","순교자의 우상: 황금 나무 대성당","Effigy of the Martyr: Erdtree Sanctuary","extra","-107.142","115.397"
"281","1035","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","알베리히 세트","Alberich's Set","surface","-104.679","112.965"
"282","1037","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","전투 마술사 세트","Battlemage Set","surface","-77.4375","89.929814"
"283","1038","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","짐승 집회 세트","Beast Champion Set","surface","-120.984375","218.353221"
"284","1040","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","검은 칼날 세트","Black Knife Set","surface","-62.54","140.14"
"285","1042","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","사냥개기사 세트","Bloodhound Knight Set","surface","-87.414062","72.433874"
"286","1043","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","큰 산양 세트","Bull-Goat Set","surface","-104.078125","69.665502"
"287","1044","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","카리아 기사 세트","Carian Knight Set","surface","-136.484375","56.395704"
"288","1049","추가 검토 필요","방어구 명칭 차이 또는 데이터 누락","armor","시민의 옷","Commoner's Simple Garb","surface","-182.00625","89.026162"
"289","1050","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","왕의 반려 세트","Consort's Set","surface","-87.34844","66.57444"
"290","1052","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","도가니 도끼 세트","Crucible Axe Set","surface","-96.55","120.926"
"291","1054","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","용기사 세트","Drake Knight Set","surface","-119.203125","219.549662"
"292","1056","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","기행 마술사 세트(투구 제외)","Errant Sorcerer Set (No Helm)","surface","-91.914062","69.698042"
"293","1057","추가 검토 필요","방어구 명칭 차이 또는 데이터 누락","armor","눈의 서코트","Eye Surcoat","surface","-87.86094","66.53088"
"294","1058","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","손가락 무녀 세트","Finger Maiden Set","surface","-115.01","71.69"
"295","1059","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","지문 세트","Fingerprint Set","surface","-72.3","168.62"
"296","1060","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","겔미어 기사 세트","Gelmir Knight Set","surface","-87","72"
"297","1062","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","신의 살갗의 사도 세트","Godskin Apostle Set","surface","-163.178125","145.807398"
"298","1063","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","신의 살갗의 귀인 세트","Godskin Noble Set","surface","-142","87"
"299","1066","추가 검토 필요","방어구 명칭 차이 또는 데이터 누락","armor","야로다스의 휘석 머리","Hierodas Glintstone Crown","surface","-92.975","70.271849"
"300","1067","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","호슬로 세트","Hoslow's Set","surface","-67.85625","152.680643"
"301","1080","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","버섯 세트(왕관 제외)","Mushroom Set (No Crown)","surface","-85.220312","68.619916"
"302","1081","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","밤 기병 세트","Night's Cavalry Set","surface","-75.7","139.1"
"303","1082","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","귀인 세트","Noble's Set","surface","-75.078125","90.836225"
"304","1083","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","방랑 민족 상인 세트","Nomadic Merchant's Set","surface","-100.051563","122.987291"
"305","1088","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","흉조잡이 세트(투구 제외)","Omenkiller Set (No Helm)","surface","-97","64"
"306","1090","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","조향사 여행 세트","Perfumer Traveler's Set","surface","-178.68","138.98"
"307","1091","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","마술 교수 세트","Preceptor's Set","surface","-109.75","52.372118"
"308","1094","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","종군 늑대 세트","Raging Wolf Set","surface","-104.35","113.45679"
"309","1101","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","현자 세트","Sage Set","surface","-169.101562","81.50281"
"310","1102","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","피의 귀족 세트","Sanguine Set","surface","-71.75","132.6"
"311","1103","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","비늘 세트","Scaled Set","surface","-174.32188","98.39523"
"312","1105","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","눈 마녀 세트","Snow Witch Set","surface","-101.945312","53.95069"
"313","1106","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","여행 세트","Traveler's Set","surface","-36.798438","149.268446"
"314","1107","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","여행 무녀 세트","Traveling Maiden Set","surface","-67.348438","150.937088"
"315","1110","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","백면 갈대 세트","White Reed Set","surface","-66.673438","169.049536"
"316","1111","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","자미엘 세트","Zamor Set","surface","-86.201563","148.049536"
"349","1144","추가 검토 필요","전회 명칭 차이 또는 데이터 누락","ash_of_war","전회: 환영의 창","Ash of War: Phantom Slash","surface","-100.1","135.05"
"350","1145","추가 검토 필요","전회 명칭 차이 또는 데이터 누락","ash_of_war","전회: 독나방은 두 번 춤춘다","Ash of War: Poison Moth Flight","surface","-185.3","142.416829"
"353","1148","추가 검토 필요","전회 명칭 차이 또는 데이터 누락","ash_of_war","전회: 애로우 레인","Ash of War: Rain of Arrows","surface","-167.703","159.029"
"381","1224","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","불화살 - 1x Stormhill Warmaster Shack","Fire Arrow - 1x Stormhill Warmaster Shack ","surface","-179.63","98.75"
"383","1241","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","황금의 룬","Golden Rune","surface","-91.18125","70.018209"
"384","1429","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","축복의 물방울","Grace Mimic (B)","surface","-90","110.2"
"385","1434","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","영웅의 룬 [1]","Hero's Rune (1)","surface","-105.6","112.59"
"386","1435","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","영웅의 룬 [1]","Hero's Rune (1) A","surface","-66.015625","168.738305"
"387","1441","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","영웅의 룬 [1]","Hero's Rune [1] - Hidden Path to the Haligtree","surface","-84.289062","141.018497"
"390","1478","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","독 투척 뼈화살","Poisonbone Dart (A)","surface","-212.59531","99.44772"
"391","1486","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","회춘의 환약","Rejuvenating Boluses (B)","surface","-131.640625","214.644829"
"392","1519","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","부드러운 면","Soft Cotton B","surface","-72.3875","156.977326"
"393","1525","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","영혼 불 화살 - 15x Elphael, Brace of the Haligtree","Spiritflame Arrow - 15x Elphael, Brace of the Haligtree","surface","-35.121875","148.154407"
"397","1560","추가 검토 필요","결정 물방울 번역 차이 또는 데이터 누락","flask_upgrade","넘치는 붉은 결정 물방울","Crimsonspill Crystal Tear","surface","-86.176562","91.74612"
"398","1562","추가 검토 필요","결정 물방울 번역 차이 또는 데이터 누락","flask_upgrade","기량 혹 결정 물방울","Dexterity-knot Crystal Tear","surface","-154.046875","63.677607"
"399","1563","추가 검토 필요","결정 물방울 번역 차이 또는 데이터 누락","flask_upgrade","신앙 혹 결정 물방울","Faith-knot Crystal Tear","surface","-205.26094","108.12919"
"400","1564","추가 검토 필요","결정 물방울 번역 차이 또는 데이터 누락","flask_upgrade","화염 두른 깨진 물방울","Flame-Shrouding Cracked Tear","surface","-166.995312","129.17451"
"401","1598","추가 검토 필요","결정 물방울 번역 차이 또는 데이터 누락","flask_upgrade","넘치는 초록 결정 물방울","Greenspill Crystal Tear","surface","-189.09375","122.494002"
"402","1600","추가 검토 필요","결정 물방울 번역 차이 또는 데이터 누락","flask_upgrade","지력 혹 결정 물방울","Intelligence-knot Crystal Tear","surface","-112.1328","54.722"
"403","1622","추가 검토 필요","결정 물방울 번역 차이 또는 데이터 누락","flask_upgrade","돌가시 깨진 물방울","Stonebarb Cracked Tear","surface","-167.28125","155.70632"
"404","1623","추가 검토 필요","결정 물방울 번역 차이 또는 데이터 누락","flask_upgrade","근력 혹 결정 물방울","Strength-Knot Crystal Tear","surface","-177.40625","98.775087"
"405","1624","추가 검토 필요","결정 물방울 번역 차이 또는 데이터 누락","flask_upgrade","나뭇가지 깨진 물방울","Twiggy Cracked Tear","surface","-88.578125","114.556738"
"406","1644","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","영웅의 노래 그림","Champion's Song Painting","surface","-81.78906","83.3516"
"407","1645","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","케로네의 마술사탑 거북이 표식 1","Chelona's Rise Turtle Marker 1","surface","-168.382813","44.289076"
"408","1646","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","케로네의 마술사탑 거북이 표식 2","Chelona's Rise Turtle Marker 2","surface","-165.175","59.499918"
