"number","map_index","status","reason","category","kor_name","english_name","region","latitude","longitude"
"44","107","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","이성의 환약 x3","Clarifying Boluses x3","dlc","-153.125","134.25641496164994"
"45","108","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","얼룩진 흰 육포 x2 - 전갈 강 지하 묘지","Dappled White Cured Meat x2 - Scorpion River Catacombs","dlc","-123.03789067268372","98.51973626262146"
"46","116","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","용뢰기름 x2 - 안개 계곡 지하 묘지","Dragonbolt Grease x2 - Fog Rift Catacombs","dlc","-124.4375","111.50439747646682"
"47","122","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","끈 달린 왕가의 마력기름 x3","Drawstring Royal Magic Grease x3","dlc","-136.46875","119.62943603203253"
"48","125","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","축제기름 x2","Festive Grease x2","dlc","-145.6015625","130.8086765730671"
"49","126","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","지문의 비약 x2","Fingerprint Nostrum x2","dlc","-116.40104162693024","141.07421875"
"50","127","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","불화살 x10","Fire Arrow x10","dlc","-133.4609375","115.41040900315299"
"51","128","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","불화살 x10 - 에니르 일림","Fire Arrow x10 - Enir-Ilim","dlc","-135.6953125","95.94136651564764"
"52","131","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","불의 똬리 x2","Fire Coil x2","dlc","-116.734375","129.7071540566167"
"53","132","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","불의 똬리 x3","Fire Coil x3","dlc","-117.40625","128.7304316224182"
"54","133","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","화령석 x3","Fire Spritestone x3","dlc","-122.5859375","108.57451868027262"
"55","155","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","황금 볼트 x10 - 에니르 일림","Golden Bolt x10 - Enir-Ilim","dlc","-135.7109375","95.44129815547154"
"56","163","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","황금 뿔 화폐 x2","Golden Horn Tender x2","dlc","-159.1640625","126.58209726029504"
"57","165","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","대형 화살 x10","Great Arrow x10","dlc","-157.6171875","107.48836550105099"
"58","169","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","면역의 육포 x3","Immunizing Cured Meat x3","dlc","-122.76445317268372","99.58218220732587"
"59","172","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","내용물이 된 살 x2 - 한탄하는 자의 감옥","Innard Meat x2 - Lamenter's Gaol","dlc","-162.734375","113.54289590368735"
"60","176","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","쿠크리 x5","Kukri x5","dlc","-137.6171875","132.6068224787516"
"61","177","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","쿠크리 x6","Kukri x6","dlc","-117.8046875","131.85567866363553"
"62","178","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","쿠크리 x6","Kukri x6","dlc","-131.33619797229767","102.42637935591077"
"63","182","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","항뢰의 간 절임 x2 - 에니르 일림","Lightningproof Pickled Liver x2 - Enir-Ilim","dlc","-137.60781252384186","98.22328262749934"
"64","183","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","군주군의 볼트 - 에니르 일림","Lordsworn's Bolt - Enir-Ilim","dlc","-138.13164067268372","96.4806753524831"
"65","184","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","짐승 고기 덩어리 x2","Lump of Flesh x2","dlc","-137.10416662693024","124.06640625"
"66","194","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","독 이끼약 x2 - 에니르 일림","Neutralizing Boluses x2 - Enir-Ilim","dlc","-134.5078125","94.05111825420398"
"67","195","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","독 투척 뼈화살 x8 - 벨라트 탑의 도시","Poisonbone Dart x8 - Belurat Tower Settlement","dlc","-144.82291662693024","98.65234375"
"68","196","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","출혈 이끼약 x2","Preserving Boluses x2","dlc","-122.86979162693024","106.38671875"
"69","198","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","라우프 벌레","Rauh Burrow","dlc","-123.671875","118.27753652782854"
"70","201","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","회춘의 환약 x2 - 전갈 강 지하 묘지","Rejuvenating Boluses x2 - Scorpion River Catacombs","dlc","-127.07291662693024","100.43359375"
"71","202","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","회춘의 환약 x3 - 전갈 강 지하 묘지","Rejuvenating Boluses x3 - Scorpion River Catacombs","dlc","-124.2265625","98.4964036225096"
"72","214","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","성스러운 피와 살 x3","Sacred Bloody Flesh x3","dlc","-134.33854162693024","113.10546875"
"73","215","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","신혈의 살점 x5","Sacred Flesh x5","dlc","-119.3125","115.92572127467557"
"74","218","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","뱀 화살 x8 - 벨라트 탑의 도시","Serpent Arrow x8 - Belurat Tower Settlement","dlc","-140.8671875","96.94933816668262"
"75","272","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","정령석 x3","Spirit Caculus x3","dlc","-130.24244797229767","101.92640479369693"
"76","273","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","트리나의 화살 x10 - 석관의 대구멍","St. Trina's Arrow x10 - Stone Coffin Fissure","dlc","-190.0703125","119.86351922886303"
"77","279","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","격앙의 이끼약 x1 - 벨라트 탑의 도시","Stimulating Boluses x1 - Belurat Tower Settlement","dlc","-141.8125","99.74626764119795"
"78","280","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","양지석 x2 - 에니르 일림","Sunwarmth Stone x2 - Enir-Ilim","dlc","-134.6640625","94.38655831721172"
"79","283","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","투척 단검 x3 - 벨라트 탑의 도시","Throwing Dagger x3 - Belurat Tower Settlement","dlc","-141.484375","99.76954705829073"
"80","284","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","투척 단검 x5","Throwing Dagger x5","dlc","-115.0625","99.06645051750137"
"81","285","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","투척 단검 x8","Throwing Dagger x8","dlc","-145.0078125","129.25370490426795"
"82","295","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","""침입"" 그림","""Incursion"" Painting","dlc","-161.5078125","111.09039209582343"
"83","296","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","""성스러운 탑"" 그림","""The Sacred Tower"" Painting","dlc","-151.9453125","118.30104913644007"
"84","299","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","옛 유적의 십자 메시지","Ancient Ruins Cross Message","dlc","-121.51588547229767","108.80886712667177"
"85","307","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","성의 십자 메시지","Castle Cross Message","dlc","-136.53125","118.35585287767319"
"86","308","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","용의 경계 그림","Domain of Dragons Painting","dlc","-120.28125","128.55860945782308"
"87","309","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","용의 경계 그림 보상","Domain of Dragons Painting Solution","dlc","-163.78125","154.44509881931862"
"88","328","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","소각로 관리자의 수기","Furnace Keeper's Note","dlc","-122.5546875","125.88778830995247"
"89","336","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","기름 장사의 방울","Greasemonger's Bell Bearing","dlc","-127.3515625","141.98900952179673"
"90","345","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","큰 항아리 도공의 제작서 [4]","Greater Potentate's Cookbook [4]","dlc","-130.59375","140.63770834285322"
"91","360","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","약초 장사의 방울","Herbalist's Bell Bearing","dlc","-152.703125","119.35536736314202"
"92","363","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","에이곤의 방울","Igon's Bell Bearing","dlc","-163.421875","145.87118770135532"
"93","368","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","침입 그림 보상","Incursion Painting Solution","dlc","-141.42812502384186","105.03124684285181"
"94","380","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","당신과 함께 - 에니르 일림","Let Us Go Together - Enir-Ilim","dlc","-137.2734375","95.16750179925974"
"95","381","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","프레이야에게 보내는 편지","Letter for Freyja","dlc","-115.71875","129.73077295278364"
"96","386","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","겨루기 소망","May the Best Win","dlc","-134.34375","121.92599038941374"
"97","387","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","레다의 메시지","Message from Leda","dlc","-135.1484375","122.51957589774001"
"98","388","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","레다의 메시지","Message from Leda","dlc","-122.12526047229767","108.50419512782273"
"99","391","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","곰팡이 장사의 방울","Moldmonger's Bell Bearing","dlc","-137.2265625","136.3324539332389"
"100","392","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","승려의 편지","Monk's Missive","dlc","-134.53385412693024","121.81640625"
"101","393","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","무어의 방울 - 에니르 일림","Moore's Bell Bearing - Enir-Ilim","dlc","-141.04570317268372","96.24629796769065"
"102","394","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","버섯 장사의 방울 [1]","Mushroom-Seller's Bell Bearing (1)","dlc","-135.578125","108.13592193497533"
"103","395","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","버섯 장사의 방울 [2]","Mushroom-Seller's Bell Bearing [2]","dlc","-156.44791662693024","119.44921875"
"104","396","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","어머니여","O Mother (Gesture)","dlc","-134.21875","133.5366799088375"
"105","400","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","비밀 의식의 두루마리","Secret Rite Scroll","dlc","-117.4140625","129.01207717396272"
"106","401","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","마술기계 장인의 방울","Spellmachinist's Bell Bearing","dlc","-122.453125","142.51985254638092"
"107","405","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","창고의 십자 메시지","Storehouse Cross Message","dlc","-116.6484375","128.25376345160848"
"108","407","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","끈 장사의 방울","String-Seller's Bell Bearing","dlc","-158.1640625","102.88793824826357"
"109","409","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","성스러운 탑 그림 보상","The Sacred Tower Painting Solution","dlc","-134.2109375","111.56288478339484"
"110","410","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","두 손가락","The Two Fingers (Gesture)","dlc","-111.828125","150.09005075315824"
"111","412","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","찢어진 일지","Torn Diary Page","dlc","-158.828125","128.23081140538267"
"112","413","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","그림자 탑 메시지 - 벨라트 탑의 도시","Tower of Shadow Message - Belurat Tower Settlement","dlc","-136.484375","100.3556543906032"
"113","415","추가 검토 필요","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음","key_item","유미르의 방울","Ymir's Bell Bearing","dlc","-132.15104162693024","137.33984375"
"114","416","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","십자 지도","Cross Map","dlc","-148.859375","110.67525289595137"
"115","417","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","지도 조각: 나락","Map: Abyss","dlc","-155.9296875","149.39525522698997"
"116","418","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","지도 조각: 묘지 평원","Map: Gravesite Plain","dlc","-157.8671875","115.09793470686347"
"117","419","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","지도 조각: 라우프의 옛 유적","Map: Rauh Ruins","dlc","-129.28782384525863","110.33169454707779"
"118","420","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","지도 조각: 그림자 알터","Map: Scadu Altus","dlc","-129.43235291663035","122.67322506200382"
"119","421","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","지도 조각: 남쪽 해안","Map: Southern Shore","dlc","-178.546875","121.1291912264841"
"120","422","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","새로운 십자 지도","New Cross Map","dlc","-134.72135412693024","122.83203125"
"121","423","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","폐허 지도","Ruins Map","dlc","-132.3828125","138.1997628118717"
"122","424","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","폐허 지도","Ruins Map (2nd)","dlc","-132.57291662693024","138.44921875"
"123","425","추가 검토 필요","지도 조각: E 데이터에서 동일 제목 없음","map_fragment","폐허 지도","Ruins Map (3rd)","dlc","-132.8984375","138.35556894038308"
"124","426","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","짐승 피 x2","Beast Blood x2","dlc","-115.140625","98.777023881603"
"125","427","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","짐승 피 x2","Beast Blood x2","dlc","-157.69791662693024","104.54296875"
"126","428","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","짐승 피 x3","Beast Blood x3","dlc","-132.2265625","108.19181322541583"
"127","430","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","짐승 뿔 x3","Beast Horn x3","dlc","-126.96875","107.42647239421495"
"128","431","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","짐승 뿔 x4","Beast Horn x4","dlc","-115.4375","129.3165290566167"
"129","432","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","짐승 뿔 x4","Beast Horn x4","dlc","-117.1953125","128.09748489193018"
"130","433","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","짐승 간 x3","Beast Liver x3","dlc","-117.50624990463257","121.53882742104848"
"131","434","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","짐승 간 x3 - 벨라트 탑의 도시","Beast Liver x3 - Belurat Tower Settlement","dlc","-139.86197912693024","96.86328125"
"132","435","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","짐승 피 x3","Beast blood x3","dlc","-117.82499957084656","120.60462122472104"
"133","440","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","검은불나비 x2 - 벨라트 탑의 도시","Black Pyrefly x2 - Belurat Tower Settlement","dlc","-141.3125","101.16815866311421"
"134","441","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","검은불나비 x3","Black Pyrefly x3","dlc","-153.953125","117.0588008076677"
"135","442","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","검은불나비 x3","Black Pyrefly x3","dlc","-155.2421875","114.83183133225188"
"136","443","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","검은불나비 x3","Black Pyrefly x3","dlc","-137.8203125","116.4385674179766"
"137","444","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","검은불나비 x3","Black Pyrefly x3","dlc","-158.74479150772095","107.19921875"
"138","445","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","검은불나비 x3 - 벨라트 탑의 도시","Black Pyrefly x3 - Belurat Tower Settlement","dlc","-143.1640625","101.2931127336209"
"139","446","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","검은불나비 x3 - 벨라트 탑의 도시","Black Pyrefly x3 - Belurat Tower Settlement","dlc","-140.296875","102.44148935033907"
"140","447","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","검은불나비 x3 - 벨라트 탑의 도시","Black Pyrefly x3 - Belurat Tower Settlement","dlc","-140.5703125","101.12927667670422"
"141","448","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","검은불나비 x4","Black Pyrefly x4","dlc","-115.765625","128.3866716265308"
"142","449","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","검은불나비 x4","Black Pyrefly x4","dlc","-118.1171875","128.30064701951198"
"143","450","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","material","검은불나비 x4 - 벨라트 탑의 도시","Black Pyrefly x4 - Belurat Tower Settlement","dlc","-139.953125","100.14473398064723"
